,,累计确诊,新增确诊,现有确诊,现有疑似,新增疑似,累计治愈,新增治愈,累计死亡,新增死亡,隔离治疗,重症,危重症,累计追踪密切接触者,当日解除医学观察,正在接受医学观察,,,,,,,,,
,,累计确诊,新增确诊,现有确诊,现有疑似,新增疑似,累计治愈,新增治愈,累计死亡,新增死亡,隔离治疗,重症,危重症,累计追踪密切接触者,当日解除医学观察,正在接受医学观察,,,,,,,,,
2020.1.23,辽宁,4,4,0,,,,,,,,,,178,,,,,,,,,,,
2020.1.23,吉林,3,2,1,,,,,,,,,,47,,,47,,,,,,,,
2020.1.23,黑龙江,4,3,3,,,,,1,1,,,,,,,,,,,,,,,
2020.1.23,上海,20,4,20,34,12,0,0,0,0,20,0,2,,,,,,,,,,,,
2020.1.23,江苏,9,8,9,,,,,,,,,,143,0,130,,,,,,,,,
2020.1.23,浙江（1.22 12:00-1.23 12:00 + 1.23 12:00-1.23 24:00）,43,33,42,,,1,1,,,,6,,1550,122,1410,,,,,,,,,
2020.1.23,安徽,15,6,15,,,,,,,,,,310,,,,,,,,,,,
2020.1.23,福建,4,4,4,2,2,,,,,,,,,,,,,,,,,,,
2020.1.23,江西,7,4,7,,,0,0,0,0,,4,0,232,14,218,,,,,,,,,
2020.1.23,山东,9,3,9,0,0,0,0,0,0,0,0,0,238,0,238,,,,,,,,,
2020.1.23,河南,9,4,9,0,0,0,0,0,0,,3,0,306,3,303,,,,,,,,,
2020.1.23,湖北,549,105,494,,,31,3,24,7,494,106,23,3653,877,2776,,,,,,,,,
2020.1.23,湖南,43,19,43,,,0,0,0,0,,15,,728,4,720,,,,,,,,,
2020.1.23,广东,53,21,51,,,2,2,,,,12,3,258,,258,,,,,,,,,
2020.1.23,广西,13,8,,,,,,,,,,,113,,113,,,,,,,,,
2020.1.23,海南,8,4,8,,,0,0,0,0,,,,343,0,343,,,,,,,,,
2020.1.23,重庆,27,18,27,,,0,0,0,0,,5,1,224,0,224,,,,,,,,,
2020.1.23,四川,15,7,15,,,,,,,15,,2,188,1,187,,,,,,,,,
2020.1.23,贵州,3,2,3,0,0,0,0,0,0,1,0,0,88,0,88,,,,,,,,,
2020.1.23,云南,1,,1,,,,,,,,,,,,,,,,,,,,,
2020.1.23,西藏,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.23,陕西,3,3,3,,,,,,,,,,53,,53,,,,,,,,,
2020.1.23,甘肃,2,2,2,,,0,0,0,0,,0,0,41,,,,,,,,,,,
2020.1.23,青海,0,0,0,1,1,,,,,,,,,,,,,,,,,,,
2020.1.23,宁夏,2,2,2,1,,,,,,,,,,,,,,,,,,,,
2020.1.23,新疆,2,2,2,,,0,0,0,0,,0,0,3,0,3,,,,,,,,,
2020.1.24,全国,1287,444,1208,1965,1118,38,3,41,16,,237,,15197,1230,13867,,,,,,,,,
2020.1.24（截至20时）,北京,36,10,35,,,1,1,,,,,,,3,,,,,,,,,,
2020.1.24,天津,8,3,8,,,0,0,0,0,,6,0,85,1,84,,,,,,,,,
2020.1.24,河北,8,6,7,0,0,0,0,1,0,0,0,0,172,0,172,,,,,,,,,
2020.1.24,山西,6,5,6,,,,,0,,,,,30,,,,,,,,,,,
2020.1.24,内蒙古,2,2,2,5,5,,,,,,,,,,,,,,,,,,,
2020.1.24,辽宁,12,8,4,,,,,,,,,,248,,,,,,,,,,,
2020.1.24,吉林,4,,4,,,,,,,,,,52,,,52,,,,,,,,
2020.1.24,黑龙江,9,5,8,,,,,1,,,,,465,64,,,,,,,,,,
2020.1.24,上海,33,13,32,72,38,1,1,0,0,32,0,2,,,,,,,,,,,,
2020.1.24,江苏,18,9,17,,,1,1,,,,,,216,15,188,,,,,,,,,
2020.1.24,浙江,62,19,61,,,1,0,,,,7,,1854,21,1680,,,,,,,,,
2020.1.24,安徽,39,24,39,,,,,,,,,,664,,,,,,,,,,,
2020.1.24,福建,10,6,10,4,2,,,,,,,,,,,,,,,,,,,
2020.1.24,江西,18,11,18,,,0,0,0,0,,4,0,484,5,465,,,,,,,,,
2020.1.24,山东,21,12,21,11,,0,0,0,0,0,0,0,472,3,469,,,,,,,,,
2020.1.24,河南,32,23,32,1,1,0,0,0,0,,5,0,698,12,682,,,,,,,,,
2020.1.24,湖北,729,180,658,,,32,1,39,15,658,100,57,5682,971,4711,,,,,,,,,
2020.1.24,湖南,69,26,69,,,0,0,0,0,,20,0,1231,5,1218,,,,,,,,,
2020.1.24,广东,78,25,76,,,2,0,,,,15,4,346,,346,,,,,,,,,
2020.1.24,广西,23,10,,,,,,,,,,,216,,216,,,,,,,,,
2020.1.24,海南（1月24_0点-25日9点）,17,9,17,,,0,0,0,0,,,,374,0,374,,,,,,,,,
2020.1.24,重庆,57,30,57,,,0,0,0,0,,8,1,404,0,404,,,,,,,,,
2020.1.24,四川,28,13,28,,,,,,,28,,2,371,2,369,,,,,,,,,
2020.1.24,贵州,4,1,4,0,0,0,0,0,0,1,0,0,91,0,91,,,,,,,,,
2020.1.24,云南,5,3,5,,,,,,,,,,100,,,,,,,,,,,
2020.1.24,西藏,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.24,陕西,5,2,5,,,,,,,,,,125,,125,,,,,,,,,
2020.1.24,甘肃,4,2,4,,,0,0,0,0,,0,0,17,0,,,,,,,,,,
2020.1.24,青海,0,0,0,1,,,,,,,,,,,,,,,,,,,,
2020.1.24,宁夏,3,1,3,1,,,,,,,1,,,,,,,,,,,,,
2020.1.24,新疆,3,1,3,,,0,0,0,0,,0,0,10,0,10,,,,,,,,,
2020.1.25,全国,1975,688,1870,2684,1309,49,11,56,15,,324,,23431,325,21556,,,,,,,,,
2020.1.25（截至23时）,北京,51,15,49,,,2,1,,,49,1,,,,,,,,,,,,,
2020.1.25,天津,10,2,10,,,0,0,0,0,,7,0,86,2,81,,,,,,,,,
2020.1.25,河北,13,5,12,5,5,0,0,1,0,0,0,0,222,0,222,,,,,,,,,
2020.1.25,山西,9,3,9,,,,,0,,,,,101,,,,,,,,,,,
2020.1.25,内蒙古,7,5,7,5,0,,,,,,,,104,0,104,,,,,,,,,
2020.1.25,辽宁,15,3,12,,,,,,,,,,,,,,,,,,,,,
2020.1.25,吉林,4,,4,,,,,,,,,,69,,,69,,,,,,,,
2020.1.25,黑龙江,15,6,14, ,10, ,,1, , ,2, ,507,,,,,,,,,,,
2020.1.25,上海,40,7,38,95,23,1,0,1,1,38,0,1,,,,,,,,,,,,
2020.1.25,江苏,31,13,30,,,1,,,,,,,367,9,330,,,,,,,,,
2020.1.25,浙江,104,42,103,,,1,0,,,,14,,2403,0,2227,,,,,,,,,
2020.1.25,安徽,60,21,60,,,,,,,,,,1023,,,,,,,,,,,
2020.1.25,福建,18,8,18,20,18,,,,,,,,,,400,,,,,,,,,
2020.1.25,江西,36,18,36,,,0,0,0,0,,6,0,1036,5,1012,,,,,,,,,
2020.1.25,山东,39,18,39,11,,0,0,0,0,0,0,0,1017,0,1014,,,,,,,,,
2020.1.25,河南,83,51,82,3,,0,0,1,1,,13,0,993,30,945,,,,,,,,,
2020.1.25,湖北,1052,323,958,,,42,10,52,13,,129,,7989,1085,6904,,,,,,,,,
2020.1.25,湖南,100,31,100,,,0,0,0,0,,22,,1715,5,1697,,,,,,,,,
2020.1.25,广东,98,20,96,,,2,0,,,,,,,,,,,,,,,,,
2020.1.25,广西,33,10,,,,,,,,,,,327,,327,,,,,,,,,
2020.1.25,海南（1月25_9点-25日17点）,19,2,19,,,0,0,0,0,,,,374,0,374,,,,,,,,,
2020.1.25,重庆,75,18,75,,,0,0,0,0,,9,2,813,20,793,,,,,,,,,
2020.1.25,四川,44,16,44,,,,,,,44,,3,581,6,575,,,,,,,,,
2020.1.25,贵州,5,1,5,0,0,0,0,0,0,1,0,0,112,0,112,,,,,,,,,
2020.1.25,云南,11,6,11,,,,,,,,1,,,,,,,,,,,,,
2020.1.25,西藏,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.25,陕西,15,10,15,,,,,,,,,,179,,179,,,,,,,,,
2020.1.25,甘肃,7,3,7,,,0,0,0,0,,1,0,83,0,,,,,,,,,,
2020.1.25,青海,1,1,1,1,0,,,,,,,,10,,113,,,,,,,,,
2020.1.25,宁夏,4,1,4,1,,,,,,,,,,,,,,,,,,,,
2020.1.25,新疆,4,1,4,,,0,0,0,0,,0,0,85,0,85,,,,,,,,,
2020.1.26,全国,2744,769,2613,5794,3806,51,2,80,24,,461,,32799,583,30453,,,,,,,,,
2020.1.26（截至21时）,北京,68,17,66,,,2,0,,,,,,,,,,,,,,,,,
2020.1.26,天津,14,4,14,,,0,0,0,0,,11,0,178,2,173,,,,,,,,,
2020.1.26,河北,18,5,17,16,11,0,0,1,0,0,0,0,353,0,353,,,,,,,,,
2020.1.26,山西,13,4,13,,0,,,,,312,54,,,,,,,,,,,,,
2020.1.26,内蒙古,11,4,11,6,1,,,,,,,,222,0,222,,,,,,,,,
2020.1.26,辽宁,22,7,15,,,,,,,,,,409,,,,,,,,,,,
2020.1.26,吉林,6,2,6,,,,,,,,,,114,,,,,,,,,,,
2020.1.26,黑龙江,21,6,20,,40, , ,1, ,,3,,594,14,,,,,,,,,,
2020.1.26,上海,53,13,51,90,-5,1,0,1,0,51,0,2,,,,,,,,,,,,
2020.1.26,江苏,47,16,46,,,1,,,,,1,,760,0,723,,,,,,,,,
2020.1.26,浙江,128,24,127,,,1,0,,,,18,,3724,12,3521,,,,,,,,,
2020.1.26,安徽,70,10,70,36,36,,,,,,,,1521,,,,,,,,,,,
2020.1.26,福建,35,17,35,39,38,,,,,,2,1,,,,,,,,,,,,
2020.1.26,江西,48,12,48,,,0,0,0,0,,6,0,1872,13,1835,,,,,,,,,
2020.1.26,山东,63,24,63,33,,0,0,0,0,0,0,0,1544,8,1533,,,,,,,,,
2020.1.26,河南,128,45,127,18,,0,0,1,0,,17,0,1651,45,1543,,,,,,,,,
2020.1.26,湖北,1423,371,1303,,,44,2,76,24,,221,69,10394,1291,9103,,,,,,,,,
2020.1.26,湖南,143,43,143,,,0,0,0,0,,31,,2387,33,2336,,,,,,,,,
2020.1.26,广东,146,48,144,,,2,0,,,,20,6,708,,708,,,,,,,,,
2020.1.26,广西,46,13,,,,,,,,,0,0,410,,397,,,,,,,,,
2020.1.26,海南（1月25日17点-1月26日7点）,22,3,22,,,0,0,0,0,,1,,414,0,414,,,,,,,,,
2020.1.26,重庆,110,35,110,,,0,0,0,0,,13,1,1106,21,1078,,,,,,,,,
2020.1.26,四川,69,25,69,,,,,,,69,,3,,12,835,,,,,,,,,
2020.1.26,贵州,7,2,7,3,3,0,0,0,0,7,1,,160,2+1人确诊,157,,,,,,,,,
2020.1.26,云南,19,8,16,,36,,,,,,2,,181,,,,,,,,,,,
2020.1.26,西藏,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.26,陕西,22,7,22,,,,,,,,,,273,,273,,,,,,,,,
2020.1.26,甘肃,14,7,14,,,0,0,0,0,,3,0,199,0,,,,,,,,,,
2020.1.26,青海,4,3,4,,,,,,,,,,14,,99,,,,,,,,,
2020.1.26,宁夏,7,3,7,,,,,,,,,,,,,,,,,,,,,
2020.1.26,新疆,5,1,5,,,0,0,0,0,,1,0,204,0,204,,,,,,,,,
2020.1.27,全国,4515,1771,4349,6973,2077,60,9,106,26,,976,,47833,914,44132,,,,,,,,,
2020.1.27（截至20时）,北京,80,12,77,,,2,0,1,,,12,2,,,,,,,,,,,,
2020.1.27,天津,23,9,23,,,0,0,0,0,,17,0,191,2,184,,,,,,,,,
2020.1.27,河北,33,15,32,54,38,0,0,1,0,0,0,0,644,0,644,,,,,,,,,
2020.1.27,山西,20,7,20,,,,,0,,,2,,346,45,,,,,,,,,,
2020.1.27,内蒙古,13,2,13,7,1,,,,,,,,334,0,334,,,,,,,,,
2020.1.27,辽宁,30,8,24,,,,,,,,,,449,21,428,,,,,,,,,
2020.1.27,吉林,8,2,8,,,,,,,,,,184,,410,,,,,,,,,
2020.1.27,黑龙江,30,9,29,,33, , ,1, ,,3,,833,55,,,,,,,,,,
2020.1.27,上海,66,13,62,129,39,3,2,1,0,62,0,2,,,,,,,,,,,,
2020.1.27,江苏,70,23,69,,,1,,,,,1,,1044,5,1022,,,,,,,,,
2020.1.27,浙江,173,45,172,,,1,0,,,,31,,4952,27,4715,,,,,,,,,
